Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
47,7,26/09/2018 19:35,McLean Park,Hawke’s Bay,Northland,,55 - 41
48,7,27/09/2018 19:35,Rotorua International Stadium,Bay of Plenty,Manawatu,,15 - 17
49,7,28/09/2018 19:35,Eden Park,Auckland,Otago,,26 - 31
50,7,29/09/2018 14:35,FMG Stadium Waikato,Waikato,Southland,,42 - 11
51,7,29/09/2018 17:05,Yarrow Stadium,Taranaki,North Harbour,,26 - 55
52,7,29/09/2018 19:35,Westpac Stadium,Wellington,Tasman,,22 - 28
53,7,30/09/2018 14:05,Christchurch Stadium,Canterbury,Hawke’s Bay,,49 - 24
54,7,30/09/2018 16:35,Navigation Homes Stadium,Counties Manukau,Northland,,20 - 24
55,8,03/10/2018 19:35,Forsyth Barr Stadium,Otago,Bay of Plenty,,45 - 34
56,8,04/10/2018 19:35,Westpac Stadium,Wellington,Auckland,,24 - 29
57,8,05/10/2018 19:35,McLean Park,Hawke’s Bay,Manawatu,,45 - 17
58,8,06/10/2018 14:35,Toll Stadium,Northland,Waikato,,28 - 71
59,8,06/10/2018 17:05,QBE Stadium,North Harbour,Counties Manukau,,36 - 26
60,8,06/10/2018 19:35,Christchurch Stadium,Canterbury,Taranaki,,41 - 7
61,8,07/10/2018 14:05,Rugby Park,Southland,Bay of Plenty,,22 - 26
62,8,07/10/2018 16:35,Forsyth Barr Stadium,Otago,Tasman,,21 - 47
63,9,10/10/2018 19:35,Rugby Park,Southland,Auckland,,8 - 56
64,9,11/10/2018 19:35,Trafalgar Park,Tasman,Hawke’s Bay,,29 - 0
65,9,12/10/2018 19:35,Yarrow Stadium,Taranaki,Wellington,,10 - 34
66,9,13/10/2018 14:35,Tauranga Domain,Bay of Plenty,Northland,,38 - 35
67,9,13/10/2018 17:05,FMG Stadium Waikato,Waikato,Otago,,19 - 23
68,9,13/10/2018 19:35,Navigation Homes Stadium,Counties Manukau,Canterbury,,14 - 19
69,9,14/10/2018 14:05,Eden Park,Auckland,North Harbour,,45 - 29
70,9,14/10/2018 16:35,Central Energy Trust Arena,Manawatu,Southland,,38 - 26
71,Semi Finals,19/10/2018 19:35,Trafalgar Park,Tasman,Canterbury,,16 - 21
72,Semi Finals,20/10/2018 14:35,FMG Stadium Waikato,Waikato,Northland,,48 - 26
73,Semi Finals,20/10/2018 17:05,Eden Park,Auckland,Wellington,,38 - 17
74,Semi Finals,20/10/2018 19:35,Forsyth Barr Stadium,Otago,Hawke’s Bay,,20 - 19
75,Finals,26/10/2018 19:35,FMG Stadium Waikato,Waikato,Otago,Mitre 10 Cup Championship Final,36 - 13
76,Finals,27/10/2018 16:05,Eden Park,Auckland,Canterbury,Mitre 10 Cup Premiership Final,40 - 33
