Round Number,Date,Location,Home Team,Away Team,Group,Result
9,08/11/2020 14:05,FMG Stadium Waikato,Waikato,Bay of Plenty,,30 - 33
9,08/11/2020 14:05,McLean Park,Hawke’s Bay,Wellington,,34 - 18
9,08/11/2020 16:35,Manfeild Park,Manawatu,Taranaki,,19 - 35
10,13/11/2020 19:05,Navigation Homes Stadium,Counties Manukau,Southland,,25 - 17
10,14/11/2020 14:05,Kaikohe Rugby Club,Northland,Waikato,,28 - 17
10,14/11/2020 14:05,Sky Stadium,Wellington,Manawatu,,31 - 5
10,14/11/2020 16:35,Forsyth Barr Stadium,Otago,Tasman,,20 - 26
10,15/11/2020 14:05,Tauranga Domain,Bay of Plenty,North Harbour,,37 - 33
10,15/11/2020 14:05,TET Stadium & Events Centre,Taranaki,Hawke’s Bay,,33 - 34
10,15/11/2020 16:35,Orangetheory Stadium,Canterbury,Auckland,,34 - 33
Semi Finals,20/11/2020 19:05,Forsyth Barr Stadium,Otago,Northland,,
Semi Finals,21/11/2020 14:05,Eden Park,Auckland,Waikato,,
Semi Finals,21/11/2020 16:35,McLean Park,Hawke’s Bay,Taranaki,,
Semi Finals,21/11/2020 19:05,Trafalgar Park,Tasman,Bay of Plenty,,
Finals,27/11/2020 19:05,TBA,To be announced,To be announced,Championship Final,
Finals,28/11/2020 19:05,TBA,To be announced,To be announced,Premiership Final,
