Round Number,Date,Location,Home Team,Away Team,Group,Result
9,05/10/2019 19:35,"Forsyth Barr Stadium, Dunedin",Otago,Canterbury,,25 - 35
9,06/10/2019 14:05,"Trafalgar Park, Nelson",Tasman,Northland,,52 - 6
9,06/10/2019 16:35,"FMG Stadium Waikato, Hamilton",Waikato,Taranaki,,38 - 19
10,10/10/2019 19:35,"Rugby Park, Invercargill",Southland,Bay of Plenty,,12 - 22
10,11/10/2019 19:35,"Yarrow Stadium, Taranaki",Taranaki,Auckland,,11 - 35
10,12/10/2019 14:35,"McLean Park, Napier",Hawke’s Bay,Tasman,,28 - 47
10,12/10/2019 17:05,"Central Energy Trust Arena, Palmerston North",Manawatu,Counties Manukau,,33 - 17
10,12/10/2019 19:35,"Westpac Stadium, Wellington",Wellington,Waikato,,39 - 21
10,13/10/2019 14:05,Whangarei,Northland,Otago,,40 - 10
10,13/10/2019 16:35,Orangetheory Stadium,Canterbury,North Harbour,,31 - 25
Semi Finals,18/10/2019 19:35,Rotorua International Stadium,Bay of Plenty,Manawatu,Championship Semifinals,64 - 3
Semi Finals,19/10/2019 14:05,"Lansdowne Park, Blenheim",Tasman,Auckland,Premiership Semifinals,18 - 9
Semi Finals,19/10/2019 16:35,"McLean Park, Napier",Hawke’s Bay,Otago,Championship Semifinals,44 - 39
Semi Finals,19/10/2019 19:05,"Westpac Stadium, Wellington",Wellington,Canterbury,Premiership Semifinals,30 - 19
Finals,25/10/2019 19:35,Rotorua International Stadium,Bay of Plenty,Hawke’s Bay,Championship Final,12 - 7
Finals,26/10/2019 18:05,"Trafalgar Park, Nelson",Tasman,Wellington,Premiership Final,31 - 14
