Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
52,8,31/10/2020 16:35,Semenoff Stadium,Northland,North Harbour,,8 - 24
53,8,31/10/2020 19:05,Eden Park,Auckland,Waikato,,31 - 10
54,8,01/11/2020 14:05,Manfeild Park,Manawatu,Southland,,24 - 12
55,8,01/11/2020 14:05,Tauranga Domain,Bay of Plenty,Hawke’s Bay,,22 - 17
56,8,01/11/2020 16:35,TET Stadium & Events Centre,Taranaki,Counties Manukau,,27 - 31
57,9,06/11/2020 19:05,Rugby Park,Southland,Otago,,32 - 15
58,9,07/11/2020 14:05,Eden Park,Auckland,Northland,,24 - 20
59,9,07/11/2020 16:35,North Harbour Stadium,North Harbour,Counties Manukau,,32 - 5
60,9,07/11/2020 19:05,Lansdowne Park,Tasman,Canterbury,,0 - 29
61,9,08/11/2020 14:05,FMG Stadium Waikato,Waikato,Bay of Plenty,,30 - 33
62,9,08/11/2020 14:05,McLean Park,Hawke’s Bay,Wellington,,34 - 18
63,9,08/11/2020 16:35,Manfeild Park,Manawatu,Taranaki,,19 - 35
64,10,13/11/2020 19:05,Navigation Homes Stadium,Counties Manukau,Southland,,25 - 17
65,10,14/11/2020 14:05,Kaikohe Rugby Club,Northland,Waikato,,28 - 17
67,10,14/11/2020 14:05,Sky Stadium,Wellington,Manawatu,,31 - 5
66,10,14/11/2020 16:35,Forsyth Barr Stadium,Otago,Tasman,,20 - 26
68,10,15/11/2020 14:05,Tauranga Domain,Bay of Plenty,North Harbour,,37 - 33
69,10,15/11/2020 14:05,TET Stadium & Events Centre,Taranaki,Hawke’s Bay,,33 - 34
70,10,15/11/2020 16:35,Orangetheory Stadium,Canterbury,Auckland,,34 - 33
71,Semi Finals,20/11/2020 19:05,Forsyth Barr Stadium,Otago,Northland,,19 - 32
72,Semi Finals,21/11/2020 14:05,Eden Park,Auckland,Waikato,,23 - 18
73,Semi Finals,21/11/2020 16:35,McLean Park,Hawke’s Bay,Taranaki,,59 - 23
74,Semi Finals,21/11/2020 19:05,Trafalgar Park,Tasman,Bay of Plenty,,19 - 10
75,Finals,27/11/2020 19:05,McLean Park,Hawke’s Bay,Northland,Championship Final,36 - 24
76,Finals,28/11/2020 19:05,Eden Park,Auckland,Tasman,Premiership Final,12 - 13
