Round Number,Date,Location,Home Team,Away Team,Result
10,19/05/2019 04:00,Glen Willow Oval,Dragons,Knights,12 - 45
10,19/05/2019 06:05,Shark Park,Sharks,Sea Eagles,14 - 24
11,23/05/2019 09:50,Bankwest Stadium,Eels,Panthers,10 - 16
11,24/05/2019 08:00,Lottoland,Sea Eagles,Titans,18 - 36
11,24/05/2019 09:55,McDonald Jones Stadium,Knights,Roosters,38 - 12
11,25/05/2019 05:00,GIO Stadium,Raiders,Cowboys,16 - 22
11,25/05/2019 07:30,Mt Smart Stadium,Warriors,Broncos,2 - 8
11,25/05/2019 09:35,ANZ Stadium,Rabbitohs,Wests Tigers,32 - 16
11,26/05/2019 04:00,Belmore Sports Ground,Bulldogs,Storm,6 - 28
11,26/05/2019 06:05,WIN Stadium,Dragons,Sharks,9 - 22
12,30/05/2019 09:50,Panthers Stadium,Panthers,Sea Eagles,15 - 12
12,31/05/2019 09:55,Bankwest Stadium,Eels,Rabbitohs,26 - 14
12,01/06/2019 09:35,ANZ Stadium,Bulldogs,Raiders,10 - 12
12,02/06/2019 06:05,Cbus Super Stadium,Titans,Cowboys,4 - 6
13,07/06/2019 08:00,ANZ Stadium,Rabbitohs,Knights,12 - 20
13,07/06/2019 09:55,Bankwest Stadium,Wests Tigers,Raiders,0 - 28
13,08/06/2019 05:00,Mt Smart Stadium,Warriors,Storm,10 - 32
13,08/06/2019 07:30,Shark Park,Sharks,Eels,42 - 22
13,08/06/2019 09:35,1300SMILES Stadium,Cowboys,Sea Eagles,20 - 22
13,09/06/2019 04:00,Suncorp Stadium,Broncos,Titans,18 - 26
13,09/06/2019 06:05,Panthers Stadium,Panthers,Roosters,19 - 10
13,10/06/2019 06:00,ANZ Stadium,Bulldogs,Dragons,12 - 36
14,13/06/2019 09:50,GIO Stadium,Raiders,Sharks,22 - 20
14,14/06/2019 08:00,Cbus Super Stadium,Titans,Warriors,20 - 24
14,14/06/2019 09:55,1300SMILES Stadium,Cowboys,Wests Tigers,26 - 27
14,15/06/2019 05:00,AAMI Park,Storm,Knights,34 - 4
14,15/06/2019 07:30,ANZ Stadium,Rabbitohs,Panthers,18 - 19
14,15/06/2019 09:30,Bankwest Stadium,Eels,Broncos,38 - 10
14,16/06/2019 04:00,Lottoland,Sea Eagles,Dragons,34 - 14
14,16/06/2019 06:00,Sydney Cricket Ground,Roosters,Bulldogs,38 - 12
15,27/06/2019 09:50,Bankwest Stadium,Wests Tigers,Rabbitohs,14 - 9
15,28/06/2019 08:00,WIN Stadium,Dragons,Cowboys,22 - 14
15,28/06/2019 09:55,Adelaide Oval,Roosters,Storm,12 - 14
15,29/06/2019 05:00,Cbus Super Stadium,Titans,Sea Eagles,12 - 30
15,29/06/2019 07:30,McDonald Jones Stadium,Knights,Broncos,26 - 12
15,29/06/2019 09:35,TIO Stadium,Eels,Raiders,22 - 16
15,30/06/2019 04:00,Mt Smart Stadium,Warriors,Panthers,18 - 19
15,30/06/2019 06:05,ANZ Stadium,Bulldogs,Sharks,14 - 12
16,04/07/2019 09:50,WIN Stadium,Dragons,Storm,14 - 16
16,05/07/2019 09:55,Bankwest Stadium,Wests Tigers,Roosters,16 - 24
16,06/07/2019 09:35,McDonald Jones Stadium,Knights,Warriors,20 - 24
16,07/07/2019 06:05,Shark Park,Sharks,Broncos,22 - 24
17,12/07/2019 08:00,Panthers Stadium,Panthers,Titans,21 - 2
17,12/07/2019 09:55,McDonald Jones Stadium,Knights,Bulldogs,14 - 20
17,13/07/2019 05:00,ANZ Stadium,Rabbitohs,Sea Eagles,21 - 20
17,13/07/2019 07:30,Suncorp Stadium,Broncos,Warriors,18 - 18
17,13/07/2019 09:35,AAMI Park,Storm,Sharks,40 - 16
17,14/07/2019 04:00,Central Coast Stadium,Roosters,Cowboys,12 - 15
17,14/07/2019 06:05,Bankwest Stadium,Wests Tigers,Eels,18 - 30
17,14/07/2019 08:10,WIN Stadium,Dragons,Raiders,14 - 36
18,18/07/2019 09:50,Suncorp Stadium,Broncos,Bulldogs,28 - 6
18,19/07/2019 08:00,Westpac Stadium,Warriors,Sharks,19 - 18
18,19/07/2019 09:55,Panthers Stadium,Panthers,Dragons,40 - 18
18,20/07/2019 05:00,Sydney Cricket Ground,Roosters,Knights,48 - 10
18,20/07/2019 07:30,GIO Stadium,Raiders,Wests Tigers,20 - 12
18,20/07/2019 09:35,1300SMILES Stadium,Cowboys,Rabbitohs,18 - 30
18,21/07/2019 04:00,Cbus Super Stadium,Titans,Storm,18 - 38
18,21/07/2019 06:05,Lottoland,Sea Eagles,Eels,36 - 24
19,25/07/2019 09:50,Shark Park,Sharks,Cowboys,16 - 14
19,26/07/2019 08:00,McDonald Jones Stadium,Knights,Wests Tigers,26 - 28
19,26/07/2019 09:55,ANZ Stadium,Rabbitohs,Dragons,20 - 16
19,27/07/2019 05:00,Bankwest Stadium,Eels,Warriors,24 - 22
19,27/07/2019 07:30,Cbus Super Stadium,Titans,Broncos,12 - 34
19,27/07/2019 09:35,AAMI Park,Storm,Sea Eagles,10 - 11
19,28/07/2019 04:00,ANZ Stadium,Bulldogs,Roosters,12 - 20
19,28/07/2019 06:05,Panthers Stadium,Panthers,Raiders,18 - 30
20,01/08/2019 09:50,Leichhardt Oval,Wests Tigers,Cowboys,28 - 4
20,02/08/2019 08:00,Mt Smart Stadium,Warriors,Raiders,12 - 46
20,02/08/2019 09:55,Suncorp Stadium,Broncos,Storm,4 - 40
20,03/08/2019 05:00,Lottoland,Sea Eagles,Knights,30 - 6
20,03/08/2019 07:30,Bankwest Stadium,Bulldogs,Panthers,16 - 8
20,03/08/2019 09:35,Shark Park,Sharks,Rabbitohs,39 - 24
20,04/08/2019 04:00,Sydney Cricket Ground,Roosters,Titans,58 - 6
20,04/08/2019 06:05,Jubilee Stadium,Dragons,Eels,4 - 12
21,08/08/2019 09:50,1300SMILES Stadium,Cowboys,Broncos,14 - 18
21,09/08/2019 08:00,Mt Smart Stadium,Warriors,Sea Eagles,24 - 16
21,09/08/2019 09:55,Panthers Stadium,Panthers,Sharks,26 - 20
21,10/08/2019 05:00,Jubilee Stadium,Dragons,Titans,40 - 28
21,10/08/2019 07:30,Bankwest Stadium,Eels,Knights,20 - 14
21,10/08/2019 09:35,ANZ Stadium,Bulldogs,Wests Tigers,18 - 16
21,11/08/2019 04:00,GIO Stadium,Raiders,Roosters,18 - 22
21,11/08/2019 06:05,Central Coast Stadium,Rabbitohs,Storm,16 - 26
22,15/08/2019 09:50,Lottoland,Sea Eagles,Wests Tigers,32 - 12
22,16/08/2019 08:00,Cbus Super Stadium,Titans,Eels,12 - 36
22,16/08/2019 09:55,Suncorp Stadium,Broncos,Panthers,24 - 12
22,17/08/2019 05:00,McDonald Jones Stadium,Knights,Cowboys,42 - 6
22,17/08/2019 07:30,AAMI Park,Storm,Raiders,18 - 22
22,17/08/2019 09:35,ANZ Stadium,Rabbitohs,Bulldogs,6 - 14
22,18/08/2019 04:00,Sydney Cricket Ground,Roosters,Warriors,42 - 6
22,18/08/2019 06:05,Shark Park,Sharks,Dragons,18 - 12
23,22/08/2019 09:50,Bankwest Stadium,Eels,Bulldogs,6 - 12
23,23/08/2019 08:00,1300SMILES Stadium,Cowboys,Panthers,24 - 10
23,23/08/2019 09:55,Suncorp Stadium,Broncos,Rabbitohs,20 - 22
23,24/08/2019 05:00,Shark Park,Sharks,Warriors,42 - 16
23,24/08/2019 07:30,Campbelltown Stadium,Wests Tigers,Knights,46 - 4
23,24/08/2019 09:35,Jubilee Stadium,Dragons,Roosters,12 - 34
23,25/08/2019 04:00,AAMI Park,Storm,Titans,24 - 8
23,25/08/2019 06:05,GIO Stadium,Raiders,Sea Eagles,14 - 18
24,29/08/2019 09:50,1300SMILES Stadium,Cowboys,Bulldogs,15 - 8
24,30/08/2019 08:00,Mt Smart Stadium,Warriors,Rabbitohs,10 - 31
24,30/08/2019 09:55,Suncorp Stadium,Broncos,Eels,17 - 16
24,31/08/2019 05:00,McDonald Jones Stadium,Knights,Titans,38 - 4
24,31/08/2019 07:30,Lottoland,Sea Eagles,Storm,6 - 36
24,31/08/2019 09:35,Sydney Cricket Ground,Roosters,Panthers,22 - 6
24,01/09/2019 04:00,Shark Park,Sharks,Raiders,14 - 15
24,01/09/2019 06:05,Sydney Cricket Ground,Dragons,Wests Tigers,14 - 42
25,05/09/2019 09:50,ANZ Stadium,Rabbitohs,Roosters,16 - 10
25,06/09/2019 08:00,Bankwest Stadium,Eels,Sea Eagles,32 - 16
25,06/09/2019 09:55,AAMI Park,Storm,Cowboys,24 - 16
25,07/09/2019 05:00,GIO Stadium,Raiders,Warriors,20 - 24
25,07/09/2019 07:30,ANZ Stadium,Bulldogs,Broncos,30 - 14
25,07/09/2019 09:35,Cbus Super Stadium,Titans,Dragons,16 - 24
25,08/09/2019 04:00,Leichhardt Oval,Wests Tigers,Sharks,8 - 25
25,08/09/2019 06:05,Panthers Stadium,Panthers,Knights,54 - 10
Finals W1,13/09/2019 09:50,Sydney Cricket Ground,Roosters,Rabbitohs,30 - 6
Finals W1,14/09/2019 07:40,AAMI Park,Storm,Raiders,10 - 12
Finals W1,14/09/2019 09:50,Lottoland,Sea Eagles,Sharks,28 - 16
Finals W1,15/09/2019 06:05,Bankwest Stadium,Eels,Broncos,58 - 0
Semi Finals,20/09/2019 09:50,ANZ Stadium,Rabbitohs,Sea Eagles,34 - 26
Semi Finals,21/09/2019 09:50,AAMI Park,Storm,Eels,32 - 0
Prelim Finals,27/09/2019 09:50,GIO Stadium,Raiders,Rabbitohs,16 - 10
Prelim Finals,28/09/2019 09:50,Sydney Cricket Ground,Roosters,Storm,14 - 6
Grand Final,06/10/2019 08:30,ANZ Stadium,Roosters,Raiders,14 - 8
