Round Number,Date,Location,Home Team,Away Team,Result
9,05/05/2018 15:00,GIO Stadium,Raiders,Titans,32 - 18
9,05/05/2018 17:30,Mt Smart Stadium,Warriors,Tigers,26 - 4
9,05/05/2018 19:35,Southern Cross Group Stadium,Sharks,Eels,22 - 20
9,06/05/2018 14:00,Jubilee Oval,Dragons,Storm,34 - 14
9,06/05/2018 16:10,Allianz Stadium,Roosters,Sea Eagles,22 - 20
10,10/05/2018 19:50,Leichhardt Oval,Tigers,Cowboys,20 - 12
10,11/05/2018 18:00,McDonald Jones Stadium,Knights,Panthers,18 - 29
10,11/05/2018 19:55,ANZ Stadium,Bulldogs,Eels,20 - 12
10,12/05/2018 15:00,Mt Smart Stadium,Warriors,Roosters,0 - 32
10,12/05/2018 17:30,Suncorp Stadium,Storm,Titans,28 - 14
10,12/05/2018 19:35,Suncorp Stadium,Sea Eagles,Broncos,38 - 24
10,13/05/2018 14:00,ANZ Stadium,Rabbitohs,Dragons,24 - 10
10,13/05/2018 16:10,GIO Stadium,Raiders,Sharks,16 - 24
11,17/05/2018 19:50,Panthers Stadium,Panthers,Tigers,16 - 2
11,18/05/2018 18:00,ANZ Stadium,Eels,Warriors,14 - 24
11,18/05/2018 19:55,Suncorp Stadium,Broncos,Roosters,28 - 22
11,19/05/2018 15:00,CBus Super Stadium,Titans,Knights,33 - 26
11,19/05/2018 17:30,1300Smiles Stadium,Cowboys,Rabbitohs,19 - 20
11,19/05/2018 19:35,AAMI Park,Storm,Sea Eagles,4 - 24
11,20/05/2018 14:00,"Glen Willow Stadium, Mudgee",Dragons,Raiders,25 - 18
11,20/05/2018 16:10,Southern Cross Group Stadium,Sharks,Bulldogs,22 - 16
12,24/05/2018 19:50,Suncorp Stadium,Broncos,Eels,18 - 10
12,25/05/2018 18:00,GIO Stadium,Raiders,Sea Eagles,21 - 20
12,25/05/2018 19:55,1300Smiles Stadium,Cowboys,Storm,6 - 7
12,26/05/2018 15:00,Central Coast Stadium,Roosters,Titans,34 - 14
12,26/05/2018 17:30,Mt Smart Stadium,Warriors,Rabbitohs,10 - 30
12,26/05/2018 19:35,Panthers Stadium,Panthers,Dragons,28 - 2
12,27/05/2018 14:00,McDonald Jones Stadium,Knights,Sharks,10 - 48
12,27/05/2018 16:10,ANZ Stadium,Tigers,Bulldogs,14 - 10
13,31/05/2018 19:50,Lottoland,Sea Eagles,Cowboys,12 - 26
13,01/06/2018 19:55,ANZ Stadium,Rabbitohs,Sharks,22 - 14
13,02/06/2018 19:35,ANZ Stadium,Eels,Knights,4 - 30
13,03/06/2018 16:10,Allianz Stadium,Roosters,Tigers,16 - 14
14,08/06/2018 18:00,GIO Stadium,Raiders,Panthers,22 - 23
14,08/06/2018 19:55,CBus Super Stadium,Titans,Rabbitohs,16 - 18
14,09/06/2018 15:00,"AMI Stadium, Christchurch",Sea Eagles,Warriors,14 - 34
14,09/06/2018 17:30,McDonald Jones Stadium,Knights,Roosters,16 - 18
14,09/06/2018 19:35,"TIO Stadium, Darwin",Eels,Cowboys,20 - 14
14,10/06/2018 14:00,Southern Cross Group Stadium,Sharks,Tigers,24 - 16
14,10/06/2018 16:10,AAMI Park,Storm,Broncos,32 - 16
14,11/06/2018 16:00,ANZ Stadium,Bulldogs,Dragons,16 - 18
15,14/06/2018 19:50,ANZ Stadium,Eels,Rabbitohs,24 - 42
15,15/06/2018 18:00,1300Smiles Stadium,Cowboys,Warriors,16 - 23
15,15/06/2018 19:55,Allianz Stadium,Roosters,Panthers,32 - 6
15,16/06/2018 15:00,Belmore Sports Ground,Bulldogs,Titans,10 - 32
15,16/06/2018 17:30,WIN Stadium,Dragons,Sea Eagles,32 - 8
15,16/06/2018 19:35,Southern Cross Group Stadium,Sharks,Broncos,16 - 20
15,17/06/2018 14:00,McDonald Jones Stadium,Knights,Storm,10 - 28
15,17/06/2018 16:10,Campbelltown Stadium,Tigers,Raiders,12 - 48
16,28/06/2018 19:50,WIN Stadium,Dragons,Eels,20 - 18
16,29/06/2018 18:00,Mt Smart Stadium,Warriors,Sharks,15 - 18
16,29/06/2018 19:55,Adelaide Oval,Roosters,Storm,8 - 9
16,30/06/2018 15:00,Panthers Stadium,Panthers,Sea Eagles,10 - 18
16,30/06/2018 17:30,McDonald Jones Stadium,Knights,Bulldogs,16 - 36
16,30/06/2018 19:35,Suncorp Stadium,Broncos,Raiders,26 - 22
16,01/07/2018 14:00,Leichhardt Oval,Tigers,Titans,12 - 30
16,01/07/2018 16:10,"Barlow Park, Cairns",Rabbitohs,Cowboys,21 - 20
17,05/07/2018 19:50,AAMI Park,Storm,Dragons,52 - 30
17,06/07/2018 19:55,Panthers Stadium,Panthers,Warriors,36 - 4
17,07/07/2018 19:35,Belmore Sports Ground,Bulldogs,Raiders,28 - 32
17,08/07/2018 16:10,CBus Super Stadium,Titans,Broncos,0 - 34
18,13/07/2018 18:00,Panthers Stadium,Panthers,Sharks,12 - 24
18,13/07/2018 19:55,McDonald Jones Stadium,Knights,Eels,18 - 16
18,14/07/2018 15:00,ANZ Stadium,Bulldogs,Rabbitohs,6 - 24
18,14/07/2018 17:30,Lottoland,Sea Eagles,Storm,13 - 14
18,14/07/2018 19:35,GIO Stadium,Raiders,Cowboys,38 - 12
18,15/07/2018 14:00,Suncorp Stadium,Broncos,Warriors,6 - 26
18,15/07/2018 16:10,Jubilee Oval,Dragons,Tigers,16 - 20
18,15/07/2018 18:30,CBus Super Stadium,Titans,Roosters,12 - 20
19,19/07/2018 19:50,ANZ Stadium,Eels,Bulldogs,14 - 8
19,20/07/2018 18:00,Southern Cross Group Stadium,Sharks,Raiders,28 - 24
19,20/07/2018 19:55,Suncorp Stadium,Broncos,Panthers,50 - 18
19,21/07/2018 15:00,McDonald Jones Stadium,Knights,Titans,30 - 24
19,21/07/2018 17:30,ANZ Stadium,Tigers,Rabbitohs,22 - 6
19,21/07/2018 19:35,1300Smiles Stadium,Cowboys,Dragons,10 - 24
19,22/07/2018 14:00,Mt Smart Stadium,Warriors,Storm,6 - 12
19,22/07/2018 16:10,Lottoland,Sea Eagles,Roosters,24 - 56
20,26/07/2018 19:50,Suncorp Stadium,Broncos,Sharks,12 - 10
20,27/07/2018 18:00,1300Smiles Stadium,Cowboys,Knights,20 - 18
20,27/07/2018 19:55,ANZ Stadium,Bulldogs,Tigers,16 - 4
20,28/07/2018 15:00,Lottoland,Sea Eagles,Panthers,24 - 28
20,28/07/2018 17:30,ANZ Stadium,Rabbitohs,Eels,26 - 20
20,28/07/2018 19:35,AAMI Park,Storm,Raiders,44 - 10
20,29/07/2018 14:00,CBus Super Stadium,Titans,Warriors,36 - 12
20,29/07/2018 16:10,Allianz Stadium,Roosters,Dragons,36 - 18
21,02/08/2018 19:50,ANZ Stadium,Bulldogs,Broncos,36 - 22
21,03/08/2018 18:00,McDonald Jones Stadium,Knights,Tigers,16 - 25
21,03/08/2018 19:55,ANZ Stadium,Rabbitohs,Storm,30 - 20
21,04/08/2018 15:00,WIN Stadium,Dragons,Warriors,12 - 18
21,04/08/2018 17:30,ANZ Stadium,Eels,Titans,28 - 12
21,04/08/2018 19:35,Allianz Stadium,Roosters,Cowboys,26 - 20
21,05/08/2018 14:00,Southern Cross Group Stadium,Sharks,Sea Eagles,32 - 33
21,05/08/2018 16:10,Panthers Stadium,Panthers,Raiders,40 - 31
22,09/08/2018 19:50,1300Smiles Stadium,Cowboys,Broncos,34 - 30
22,10/08/2018 18:00,Mt Smart Stadium,Warriors,Knights,20 - 4
22,10/08/2018 19:55,ANZ Stadium,Rabbitohs,Roosters,14 - 18
22,11/08/2018 15:00,CBus Super Stadium,Titans,Panthers,16 - 17
22,11/08/2018 17:30,McGrath Foundation Stadium,Sea Eagles,Bulldogs,18 - 6
22,11/08/2018 19:35,ANZ Stadium,Eels,Dragons,40 - 4
22,12/08/2018 14:00,GIO Stadium,Raiders,Tigers,20 - 22
22,12/08/2018 16:10,AAMI Park,Storm,Sharks,14 - 17
23,16/08/2018 19:50,Suncorp Stadium,Broncos,Rabbitohs,38 - 18
23,17/08/2018 18:00,Lottoland,Sea Eagles,Titans,34 - 42
23,17/08/2018 19:55,AAMI Park,Storm,Eels,20 - 4
23,18/08/2018 15:00,Panthers Stadium,Panthers,Knights,12 - 20
23,18/08/2018 17:30,Leichhardt Oval,Tigers,Dragons,10 - 20
23,18/08/2018 19:35,Southern Cross Group Stadium,Sharks,Cowboys,28 - 16
23,19/08/2018 14:00,ANZ Stadium,Bulldogs,Warriors,27 - 26
23,19/08/2018 16:10,GIO Stadium,Raiders,Roosters,14 - 12
24,23/08/2018 19:50,Campbelltown Stadium,Tigers,Sea Eagles,22 - 20
24,24/08/2018 18:00,Mt Smart Stadium,Warriors,Panthers,36 - 16
24,24/08/2018 19:55,1300Smiles Stadium,Cowboys,Eels,44 - 6
24,25/08/2018 15:00,GIO Stadium,Raiders,Rabbitohs,24 - 12
24,25/08/2018 17:30,CBus Super Stadium,Titans,Storm,8 - 10
24,25/08/2018 19:35,Allianz Stadium,Roosters,Broncos,8 - 22
24,26/08/2018 14:00,Southern Cross Group Stadium,Sharks,Knights,38 - 12
24,26/08/2018 16:10,Jubilee Oval,Dragons,Bulldogs,0 - 38
25,30/08/2018 19:50,ANZ Stadium,Rabbitohs,Tigers,51 - 10
25,31/08/2018 18:00,Mt Smart Stadium,Warriors,Raiders,20 - 16
25,31/08/2018 19:55,AAMI Park,Storm,Panthers,16 - 22
25,01/09/2018 15:00,McDonald Jones Stadium,Knights,Dragons,14 - 24
25,01/09/2018 17:30,CBus Super Stadium,Titans,Cowboys,26 - 30
25,01/09/2018 19:45,ANZ Stadium,Eels,Roosters,10 - 44
25,02/09/2018 14:00,ANZ Stadium,Bulldogs,Sharks,18 - 30
25,02/09/2018 16:10,Suncorp Stadium,Broncos,Sea Eagles,48 - 16
Finals W1,07/09/2018 19:40,AAMI Park,Storm,Rabbitohs,29 - 28
Finals W1,08/09/2018 17:30,ANZ Stadium,Panthers,Warriors,27 - 12
Finals W1,08/09/2018 19:40,Allianz Stadium,Roosters,Sharks,21 - 12
Finals W1,09/09/2018 16:00,Suncorp Stadium,Broncos,Dragons,18 - 48
Semi Finals,14/09/2018 19:40,Allianz Stadium,Sharks,Panthers,21 - 20
Semi Finals,15/09/2018 19:40,ANZ Stadium,Rabbitohs,Dragons,13 - 12
Prelim Finals,21/09/2018 19:40,AAMI Park,Storm,Sharks,22 - 6
Prelim Finals,22/09/2018 19:40,Allianz Stadium,Roosters,Rabbitohs,12 - 4
Grand Final,30/09/2018 19:20,ANZ Stadium,Storm,Roosters,6 - 21
