Round,Date,Time,Home,Away,HG,AG,Venue
Round_Placeholder,Date_Placeholder,15.08. 15:00,Wigan Warriors,Hull KR,,,N/A
Round_Placeholder,Date_Placeholder,16.02. 10:00,Huddersfield,Warrington,12,20,N/A
Round_Placeholder,Date_Placeholder,16.05. 15:00,Leeds,Hull FC,,,N/A
Round_Placeholder,Date_Placeholder,16.05. 15:00,Wigan Warriors,Leigh,,,N/A
Round_Placeholder,Date_Placeholder,16.08. 10:00,Castleford,Leeds,,,N/A
Round_Placeholder,Date_Placeholder,16.08. 12:30,Hull FC,Leigh,,,N/A
Round_Placeholder,Date_Placeholder,17.04. 15:00,Wakefield,Castleford,13,12,N/A
Round_Placeholder,Date_Placeholder,17.05. 12:30,Hull KR,Huddersfield,,,N/A
Round_Placeholder,Date_Placeholder,17.07. 15:00,St Helens,Leigh,,,N/A
Round_Placeholder,Date_Placeholder,17.08. 10:00,Salford,Wakefield,,,N/A
Round_Placeholder,Date_Placeholder,18.04. 07:30,Hull FC,Hull KR,14,28,N/A
Round_Placeholder,Date_Placeholder,18.04. 10:00,Wigan Warriors,St Helens,24,14,N/A
Round_Placeholder,Date_Placeholder,18.04. 12:30,Leeds,Huddersfield,28,6,N/A
Round_Placeholder,Date_Placeholder,18.05. 10:00,Wakefield,Warrington,,,N/A
Round_Placeholder,Date_Placeholder,18.05. 12:30,Castleford,Salford,,,N/A
Round_Placeholder,Date_Placeholder,18.07. 15:00,Huddersfield,Wakefield,,,N/A
Round_Placeholder,Date_Placeholder,18.07. 15:00,Leeds,Salford,,,N/A
Round_Placeholder,Date_Placeholder,19.04. 08:30,Leigh,Warrington,18,14,N/A
Round_Placeholder,Date_Placeholder,19.04. 13:00,Catalans Dragons,Salford,38,10,N/A
Round_Placeholder,Date_Placeholder,19.06. 15:00,Castleford,Hull KR,,,N/A
Round_Placeholder,Date_Placeholder,19.07. 10:00,Wigan Warriors,Hull FC,,,N/A
Round_Placeholder,Date_Placeholder,19.07. 13:00,Catalans Dragons,Hull KR,,,N/A
Round_Placeholder,Date_Placeholder,19.09. 15:00,Hull FC,Catalans Dragons,,,N/A
Round_Placeholder,Date_Placeholder,19.09. 15:00,Hull KR,Warrington,,,N/A
Round_Placeholder,Date_Placeholder,19.09. 15:00,Leigh,Huddersfield,,,N/A
Round_Placeholder,Date_Placeholder,19.09. 15:00,Salford,Wakefield,,,N/A
Round_Placeholder,Date_Placeholder,19.09. 15:00,St Helens,Castleford,,,N/A
Round_Placeholder,Date_Placeholder,19.09. 15:00,Wigan Warriors,Leeds,,,N/A
Round_Placeholder,Date_Placeholder,20.02. 15:00,Wakefield,Hull KR,12,14,N/A
Round_Placeholder,Date_Placeholder,20.03. 16:00,Salford,Huddersfield,23,10,N/A
Round_Placeholder,Date_Placeholder,20.06. 15:00,St Helens,Leeds,,,N/A
Round_Placeholder,Date_Placeholder,20.06. 15:00,Wakefield,Wigan Warriors,,,N/A
Round_Placeholder,Date_Placeholder,20.07. 10:00,Castleford,Warrington,,,N/A
Round_Placeholder,Date_Placeholder,21.02. 15:00,Hull FC,Wigan Warriors,4,46,N/A
Round_Placeholder,Date_Placeholder,21.02. 15:00,Warrington,Catalans Dragons,18,12,N/A
Round_Placeholder,Date_Placeholder,21.03. 16:00,St Helens,Warrington,12,14,N/A
Round_Placeholder,Date_Placeholder,21.03. 16:00,Wakefield,Hull FC,12,16,N/A
Round_Placeholder,Date_Placeholder,21.06. 10:00,Warrington,Huddersfield,,,N/A
Round_Placeholder,Date_Placeholder,21.06. 12:30,Catalans Dragons,Leigh,,,N/A
Round_Placeholder,Date_Placeholder,21.08. 15:00,Leeds,Hull KR,,,N/A
Round_Placeholder,Date_Placeholder,22.02. 10:00,Salford,Leeds,6,32,N/A
Round_Placeholder,Date_Placeholder,22.02. 15:00,Castleford,St Helens,6,46,N/A
Round_Placeholder,Date_Placeholder,22.03. 11:00,Castleford,Catalans Dragons,4,26,N/A
Round_Placeholder,Date_Placeholder,22.03. 13:30,Leeds,Wigan Warriors,12,10,N/A
Round_Placeholder,Date_Placeholder,22.05. 15:00,Leigh,Hull FC,,,N/A
Round_Placeholder,Date_Placeholder,22.06. 10:00,Salford,Hull FC,,,N/A
Round_Placeholder,Date_Placeholder,22.08. 15:00,Leigh,Salford,,,N/A
Round_Placeholder,Date_Placeholder,22.08. 15:00,St Helens,Hull FC,,,N/A
Round_Placeholder,Date_Placeholder,23.02. 09:30,Leigh,Huddersfield,24,10,N/A
Round_Placeholder,Date_Placeholder,23.03. 11:00,Hull KR,Leigh,30,0,N/A
Round_Placeholder,Date_Placeholder,23.05. 15:00,Huddersfield,St Helens,,,N/A
Round_Placeholder,Date_Placeholder,23.05. 15:00,Warrington,Hull KR,,,N/A
Round_Placeholder,Date_Placeholder,23.08. 10:00,Huddersfield,Warrington,,,N/A
Round_Placeholder,Date_Placeholder,23.08. 13:00,Catalans Dragons,Castleford,,,N/A
Round_Placeholder,Date_Placeholder,24.04. 15:00,Warrington,St Helens,32,18,N/A
Round_Placeholder,Date_Placeholder,24.05. 09:30,Castleford,Leeds,,,N/A
Round_Placeholder,Date_Placeholder,24.05. 12:30,Catalans Dragons,Wigan Warriors,,,N/A
Round_Placeholder,Date_Placeholder,24.07. 15:00,Wakefield,Leeds,,,N/A
Round_Placeholder,Date_Placeholder,24.08. 10:00,Wigan Warriors,Wakefield,,,N/A
Round_Placeholder,Date_Placeholder,25.04. 15:00,Leeds,Hull KR,14,20,N/A
Round_Placeholder,Date_Placeholder,25.05. 10:00,Wakefield,Salford,,,N/A
Round_Placeholder,Date_Placeholder,25.07. 15:00,Wigan Warriors,Catalans Dragons,,,N/A
Round_Placeholder,Date_Placeholder,26.04. 10:00,Huddersfield,Castleford,12,30,N/A
Round_Placeholder,Date_Placeholder,26.04. 12:30,Catalans Dragons,Wakefield,24,20,N/A
Round_Placeholder,Date_Placeholder,26.04. 12:30,Salford,Leigh,6,28,N/A
Round_Placeholder,Date_Placeholder,26.07. 10:00,Hull FC,Huddersfield,,,N/A
Round_Placeholder,Date_Placeholder,27.02. 15:00,Hull KR,Salford,42,0,N/A
Round_Placeholder,Date_Placeholder,27.03. 16:00,Castleford,Hull FC,14,24,N/A
Round_Placeholder,Date_Placeholder,27.04. 10:00,Hull FC,Wigan Warriors,12,36,N/A
Round_Placeholder,Date_Placeholder,27.06. 15:00,Hull KR,Wakefield,,,N/A
Round_Placeholder,Date_Placeholder,27.06. 15:00,Leeds,Leigh,,,N/A
Round_Placeholder,Date_Placeholder,27.06. 15:00,Warrington,Hull FC,,,N/A
Round_Placeholder,Date_Placeholder,28.02. 15:00,Huddersfield,Hull FC,10,11,N/A
Round_Placeholder,Date_Placeholder,28.02. 15:00,Leigh,Catalans Dragons,34,6,N/A
Round_Placeholder,Date_Placeholder,28.03. 16:00,Leigh,Wakefield,14,40,N/A
Round_Placeholder,Date_Placeholder,28.03. 16:00,Warrington,Leeds,16,14,N/A
Round_Placeholder,Date_Placeholder,28.06. 12:30,Catalans Dragons,Huddersfield,,,N/A
Round_Placeholder,Date_Placeholder,28.06. 15:00,Castleford,Wigan Warriors,,,N/A
Round_Placeholder,Date_Placeholder,28.08. 15:00,Leigh,Castleford,,,N/A
Round_Placeholder,Date_Placeholder,29.03. 13:30,Catalans Dragons,St Helens,13,14,N/A
Round_Placeholder,Date_Placeholder,29.05. 15:00,Huddersfield,Leigh,,,N/A
Round_Placeholder,Date_Placeholder,29.06. 10:00,St Helens,Salford,,,N/A
Round_Placeholder,Date_Placeholder,29.08. 15:00,Hull KR,St Helens,,,N/A
Round_Placeholder,Date_Placeholder,29.08. 15:00,Warrington,Salford,,,N/A
Round_Placeholder,Date_Placeholder,30.03. 10:00,Huddersfield,Hull KR,4,50,N/A
Round_Placeholder,Date_Placeholder,30.03. 10:00,Wigan Warriors,Salford,54,0,N/A
Round_Placeholder,Date_Placeholder,30.05. 15:00,Hull KR,St Helens,,,N/A
Round_Placeholder,Date_Placeholder,30.05. 15:00,Salford,Wigan Warriors,,,N/A
Round_Placeholder,Date_Placeholder,30.05. 15:00,Warrington,Castleford,,,N/A
Round_Placeholder,Date_Placeholder,30.08. 10:00,Hull FC,Leeds,,,N/A
Round_Placeholder,Date_Placeholder,30.08. 15:00,Catalans Dragons,Wigan Warriors,,,N/A
Round_Placeholder,Date_Placeholder,31.05. 09:30,Leeds,Wakefield,,,N/A
Round_Placeholder,Date_Placeholder,31.05. 12:30,Catalans Dragons,Hull FC,,,N/A
Round_Placeholder,Date_Placeholder,31.07. 15:00,Salford,Hull KR,,,N/A
Round_Placeholder,Date_Placeholder,31.08. 10:00,Wakefield,Huddersfield,,,N/A
