Round,Date,Time,Home,Away,HG,AG,Venue
Round N/A (Selenium),Date N/A (Selenium),17.08. 10:00,Salford,Wakefield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),21.08. 15:00,Leeds,Hull KR,,,N/A
Round N/A (Selenium),Date N/A (Selenium),22.08. 15:00,Leigh,Salford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),22.08. 15:00,St Helens,Hull FC,,,N/A
Round N/A (Selenium),Date N/A (Selenium),23.08. 10:00,Huddersfield,Warrington,,,N/A
Round N/A (Selenium),Date N/A (Selenium),23.08. 13:00,Catalans Dragons,Castleford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),24.08. 10:00,Wigan Warriors,Wakefield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),28.08. 15:00,Leigh,Castleford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),29.08. 15:00,Hull KR,St Helens,,,N/A
Round N/A (Selenium),Date N/A (Selenium),29.08. 15:00,Warrington,Salford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),30.08. 10:00,Hull FC,Leeds,,,N/A
Round N/A (Selenium),Date N/A (Selenium),30.08. 15:00,Catalans Dragons,Wigan Warriors,,,N/A
Round N/A (Selenium),Date N/A (Selenium),31.08. 10:00,Wakefield,Huddersfield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),04.09. 15:00,Salford,Catalans Dragons,,,N/A
Round N/A (Selenium),Date N/A (Selenium),05.09. 15:00,Castleford,Wakefield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),05.09. 15:00,St Helens,Wigan Warriors,,,N/A
Round N/A (Selenium),Date N/A (Selenium),06.09. 10:00,Warrington,Leigh,,,N/A
Round N/A (Selenium),Date N/A (Selenium),06.09. 12:30,Huddersfield,Leeds,,,N/A
Round N/A (Selenium),Date N/A (Selenium),07.09. 10:00,Hull KR,Hull FC,,,N/A
Round N/A (Selenium),Date N/A (Selenium),11.09. 15:00,Leeds,Catalans Dragons,,,N/A
Round N/A (Selenium),Date N/A (Selenium),12.09. 15:00,Leigh,St Helens,,,N/A
Round N/A (Selenium),Date N/A (Selenium),12.09. 15:00,Wigan Warriors,Castleford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),13.09. 10:00,Wakefield,Hull KR,,,N/A
Round N/A (Selenium),Date N/A (Selenium),13.09. 12:30,Hull FC,Warrington,,,N/A
Round N/A (Selenium),Date N/A (Selenium),14.09. 10:00,Huddersfield,Salford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),19.09. 15:00,Hull FC,Catalans Dragons,,,N/A
Round N/A (Selenium),Date N/A (Selenium),19.09. 15:00,Hull KR,Warrington,,,N/A
Round N/A (Selenium),Date N/A (Selenium),19.09. 15:00,Leigh,Huddersfield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),19.09. 15:00,Salford,Wakefield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),19.09. 15:00,St Helens,Castleford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),19.09. 15:00,Wigan Warriors,Leeds,,,N/A
